,routeid,node_ids
0,CAB285000006,"['CAB285000930', 'CAB285000928', 'CAB285000926', 'CAB285000940', 'CAB285000917', 'CAB285000920', 'CAB285000921', 'CAB285000923', 'CAB285000879', 'CAB285000908', 'CAB285000905', 'CAB285000903', 'CAB285001519', 'CAB285000901', 'CAB285000897', 'CAB285000899', 'CAB285000657', 'CAB285001765', 'CAB285002264', 'CAB285000676', 'CAB285000663', 'CAB285000666', 'CAB285000668', 'CAB285000678', 'CAB285000654', 'CAB285000651', 'CAB285000650', 'CAB285010014', 'CAB285000706', 'CAB285001061', 'CAB285001477', 'CAB285001053', 'CAB285001478', 'CAB285071397', 'CAB285001056', 'CAB285001058', 'CAB285001060', 'CAB285000982', 'CAB285010023', 'CAB285001483', 'CAB285001034', 'CAB285001030', 'CAB285001032']"
1,CAB285000007,"['CAB285001033', 'CAB285001031', 'CAB285001035', 'CAB285000979', 'CAB285000980', 'CAB285000981', 'CAB285001059', 'CAB285001057', 'CAB285001055', 'CAB285001478', 'CAB285071397', 'CAB285001754', 'CAB285001062', 'CAB285000707', 'CAB285000686', 'CAB285000649', 'CAB285000652', 'CAB285000653', 'CAB285000655', 'CAB285000659', 'CAB285000661', 'CAB285000675', 'CAB285000701', 'CAB285000831', 'CAB285002351', 'CAB285000658', 'CAB285000898', 'CAB285010007', 'CAB285000902', 'CAB285001520', 'CAB285000904', 'CAB285000906', 'CAB285000907', 'CAB285000924', 'CAB285000922', 'CAB285000919', 'CAB285000916', 'CAB285000939', 'CAB285000925', 'CAB285000927', 'CAB285000929', 'CAB285000931']"
2,CAB285000008,"['CAB285010020', 'CAB285000873', 'CAB285000872', 'CAB285000862', 'CAB285000865', 'CAB285001919', 'CAB285000887', 'CAB285000888', 'CAB285000950', 'CAB285000948', 'CAB285000953', 'CAB285000906', 'CAB285000907', 'CAB285010014', 'CAB285000689', 'CAB285000694', 'CAB285000691', 'CAB285000693', 'CAB285000696', 'CAB285000697', 'CAB285000749', 'CAB285000776', 'CAB285000777', 'CAB285001950', 'CAB285000750', 'CAB285000734', 'CAB285000284', 'CAB285001301', 'CAB285001970', 'CAB285000781', 'CAB285001716']"
3,CAB285000009,"['CAB285000784', 'CAB285000780', 'CAB285001969', 'CAB285000283', 'CAB285000285', 'CAB285000735', 'CAB285000736', 'CAB285001951', 'CAB285000778', 'CAB285000775', 'CAB285001589', 'CAB285000748', 'CAB285000698', 'CAB285000695', 'CAB285000692', 'CAB285000690', 'CAB285000688', 'CAB285000687', 'CAB285000908', 'CAB285000905', 'CAB285000952', 'CAB285000949', 'CAB285000951', 'CAB285000889', 'CAB285000890', 'CAB285000866', 'CAB285000864', 'CAB285071650', 'CAB285000871', 'CAB285000874', 'CAB285010021']"
4,CAB285000010,"['CAB285000640', 'CAB285000641', 'CAB285000642', 'CAB285000644', 'CAB285001062', 'CAB285000707', 'CAB285000686', 'CAB285000683', 'CAB285000681', 'CAB285000679', 'CAB285000877', 'CAB285000669', 'CAB285000672', 'CAB285000674', 'CAB285000701', 'CAB285000832', 'CAB285000835', 'CAB285001518', 'CAB285001517', 'CAB285000840', 'CAB285000842', 'CAB285000843', 'CAB285000850', 'CAB285000852', 'CAB285000165', 'CAB285002121', 'CAB288002218', 'CAB285071625']"
5,CAB285000011,"['CAB288002022', 'CAB288002048', 'CAB288002219', 'CAB288002054', 'CAB288002056', 'CAB288001265', 'CAB285000851', 'CAB285000844', 'CAB285000841', 'CAB285000839', 'CAB285001516', 'CAB285000838', 'CAB285000836', 'CAB285000834', 'CAB285010011', 'CAB285000702', 'CAB285000673', 'CAB285000671', 'CAB285000670', 'CAB285000878', 'CAB285000680', 'CAB285000682', 'CAB285000684', 'CAB285000685', 'CAB285000706', 'CAB285001061', 'CAB285000643', 'CAB285001052', 'CAB285001595', 'CAB285001715']"
6,CAB285000012,"['CAB285010020', 'CAB285000873', 'CAB285000872', 'CAB285001515', 'CAB285000883', 'CAB285001510', 'CAB285001509', 'CAB285001507', 'CAB285010034', 'CAB285001015', 'CAB285001501', 'CAB285001499', 'CAB285000997', 'CAB285001493', 'CAB285001491', 'CAB285002207', 'CAB285002131', 'CAB285001489', 'CAB285001024', 'CAB285000934', 'CAB285000932', 'CAB285001485', 'CAB285001033', 'CAB285001031', 'CAB285001035', 'CAB285000979', 'CAB285000980', 'CAB285000981', 'CAB285000646', 'CAB285000648', 'CAB285000685', 'CAB285000706', 'CAB285001061', 'CAB285000643', 'CAB285001052', 'CAB285001595', 'CAB285001050', 'CAB285001596', 'CAB285002281', 'CAB285001747']"
7,CAB285000013,"['CAB285001598', 'CAB285001597', 'CAB285002282', 'CAB285001051', 'CAB285001049', 'CAB285000642', 'CAB285000644', 'CAB285001062', 'CAB285000707', 'CAB285000687', 'CAB285002085', 'CAB285002084', 'CAB285000982', 'CAB285010023', 'CAB285001483', 'CAB285001034', 'CAB285001030', 'CAB285001032', 'CAB285001484', 'CAB285000933', 'CAB285001025', 'CAB285001487', 'CAB285001488', 'CAB285002132', 'CAB285002208', 'CAB285001490', 'CAB285001492', 'CAB285000986', 'CAB285000998', 'CAB285001496', 'CAB285001498', 'CAB285001500', 'CAB285001016', 'CAB285010033', 'CAB285001506', 'CAB285001508', 'CAB285000151', 'CAB285001514', 'CAB285000871', 'CAB285000874', 'CAB285010021']"
8,CAB285000024,"['CAB285001045', 'CAB285001044', 'CAB285002190', 'CAB285001047', 'CAB285001048', 'CAB285000644', 'CAB285001062', 'CAB285000707', 'CAB285000686', 'CAB285000649', 'CAB285000652', 'CAB285000653', 'CAB285000655', 'CAB285000659', 'CAB285000661', 'CAB285001590', 'CAB285000702', 'CAB285000876', 'CAB285000749', 'CAB285000776', 'CAB285000777', 'CAB285000737', 'CAB285000739', 'CAB285000741', 'CAB285000743', 'CAB285000744', 'CAB285000316', 'CAB285000319', 'CAB285000322']"
9,CAB285000025,"['CAB285010146', 'CAB285000318', 'CAB285000317', 'CAB285000745', 'CAB285000746', 'CAB285000742', 'CAB285000740', 'CAB285000738', 'CAB285000778', 'CAB285000775', 'CAB285071666', 'CAB285000875', 'CAB285000676', 'CAB285000662', 'CAB285000660', 'CAB285000656', 'CAB285000654', 'CAB285000651', 'CAB285000650', 'CAB285000685', 'CAB285000706', 'CAB285001061', 'CAB285000643', 'CAB285001594', 'CAB285001046', 'CAB285002190', 'CAB285001043', 'CAB285010147']"
10,CAB285000293,"['CAB285001045', 'CAB285001044', 'CAB285001047', 'CAB285001048', 'CAB285000644', 'CAB285001062', 'CAB285000707', 'CAB285000687', 'CAB285002085', 'CAB285002084', 'CAB285000982', 'CAB285010023', 'CAB285001483', 'CAB285001034', 'CAB285001028', 'CAB285001027', 'CAB285001025', 'CAB285001487', 'CAB285001488', 'CAB285002132', 'CAB285010133', 'CAB285071465', 'CAB285001793', 'CAB285071646', 'CAB285071477', 'CAB285071479', 'CAB285071394', 'CAB285002262', 'CAB285001083', 'CAB285010148']"
11,CAB285000294,"['CAB285001574', 'CAB285000293', 'CAB285002263', 'CAB285071390', 'CAB285071480', 'CAB285071478', 'CAB285071645', 'CAB285002290', 'CAB285010024', 'CAB285002079', 'CAB285010132', 'CAB285002207', 'CAB285002131', 'CAB285001489', 'CAB285001024', 'CAB285001026', 'CAB285001029', 'CAB285001035', 'CAB285000979', 'CAB285000980', 'CAB285000981', 'CAB285000646', 'CAB285000648', 'CAB285000685', 'CAB285000706', 'CAB285001061', 'CAB285000643', 'CAB285001594', 'CAB285001046', 'CAB285001043', 'CAB285010147']"
