routeno,routeid,stop1,stop2,stop3,stop4,stop5
11,CAB285000006,늘푸른극동아파트,천안역 서부광장,동남구청,단국대학교,두정우남아파트
11,CAB285000007,주공8단지아파트,단국대 삼거리,남산축협,성정초등학교,두정한성아파트
12,CAB285000008,방아다리공원,5단지시장입구,삼룡교,부영아파트,NULL
12,CAB285000009,부영아파트,삼룡교,주공5단지아파트,방아다리공원,NULL
13,CAB285000010,종합터미널,충무병원정문,천안아산역,NULL,NULL
13,CAB285000011,두레현대1단지아파트,중앙도서관,단대병원,NULL,NULL
14,CAB285000012,천안시청 서북구보건소,두정중학교,신부청광아파트,백석대학교(운동장),NULL
14,CAB285000013,신부청광아파트,두정도서관,주공그린빌3차아파트,방아다리공원,NULL
24,CAB285000024,종합터미널,삼룡교,동우아파트,NULL,NULL
24,CAB285000025,천안동중학교,복자여자중고등학교,각원사,NULL,NULL
81,CAB285000293,동아태조아파트,계룡리슈빌,차암2통,NULL,NULL
81,CAB285000294,백석푸르지오아파트,역말오거리,각원사,NULL,NULL
