nodenm,nodeid,0
고속터미널,CAB285000687,3
구성동중앙신협,CAB285071666,1
단국대입구,CAB285071397,2
두정도서관,CAB285001024,2
두정도서관,CAB285001025,2
두정역,CAB285001034,3
두정역,CAB285001035,3
백석대 정문,CAB285002281,1
백석대 정문,CAB285002282,1
버들육거리,CAB285000669,1
버들육거리,CAB285000670,1
상명대학교,CAB285000642,2
상명대학교,CAB285001052,2
선문대(천안),CAB285000284,1
선문대(천안),CAB285000285,1
성정1동행정복지센터,CAB285000907,2
성정1동행정복지센터,CAB285000908,2
신방초원아파트,CAB285000851,1
신촌초등학교,CAB285000852,1
쌍용패션거리,CAB285000887,1
아산역,CAB288002218,1
아산역,CAB288002219,1
열린치과,CAB285000890,1
용암마을,CAB285000862,1
용암마을,CAB285071650,1
종합터미널,CAB285000685,4
종합터미널,CAB285000686,3
종합터미널,CAB285010014,2
천안동중학교,CAB285000737,1
천안삼거리장례식장,CAB285000744,1
천안삼거리장례식장,CAB285000745,1
천안역,CAB285000678,1
천안역 동부광장,CAB285000655,2
천안역 동부광장,CAB285000656,1
코스트코,CAB285071390,1
코스트코,CAB285071394,1
호서대(천안),CAB285001046,2
호서대(천안),CAB285001047,2
