routeno,routeid,nodenm,nodeord,nodeid,nodeno,gpslati,gpslong
11,CAB285000006,늘푸른극동아파트,stop1,CAB285000926,926,127.13308139,36.82980669
11,CAB285000006,천안역 서부광장,stop2,CAB285001519,1519,127.1450086,36.8095435
11,CAB285000006,동남구청,stop3,CAB285000668,668,127.14994067,36.80710758
11,CAB285000006,단국대학교,stop4,CAB285001478,1478,127.16890965,36.83519294
11,CAB285000006,두정우남아파트,stop5,CAB285001032,1032,127.14574634,36.83818848
11,CAB285000007,주공8단지아파트,stop1,CAB285001031,1031,127.14545805,36.83511835
11,CAB285000007,단국대 삼거리,stop2,CAB285001055,1055,127.16234078,36.8307433
11,CAB285000007,남산축협,stop3,CAB285000675,675,127.15157119,36.79921013
11,CAB285000007,성정초등학교,stop4,CAB285000906,906,127.14214074,36.81542798
11,CAB285000007,두정한성아파트,stop5,CAB285000931,931,127.13372435,36.83641912
12,CAB285000008,방아다리공원,stop1,CAB285010020,2341,127.11700956,36.79301183
12,CAB285000008,5단지시장입구,stop2,CAB285000953,953,127.13913085,36.81364577
12,CAB285000008,삼룡교,stop3,CAB285000749,749,127.1591872,36.7978992
12,CAB285000008,부영아파트,stop4,CAB285001716,1716,127.1782955,36.7604214
12,CAB285000009,부영아파트,stop1,CAB285000784,784,127.17815574,36.76055464
12,CAB285000009,삼룡교,stop2,CAB285001589,1589,127.1594619,36.7978865
12,CAB285000009,주공5단지아파트,stop3,CAB285000952,952,127.13820241,36.81386294
12,CAB285000009,방아다리공원,stop4,CAB285010021,2340,127.11686957,36.79311153
13,CAB285000010,종합터미널,stop1,CAB285000686,686,127.15564408,36.81897133
13,CAB285000010,충무병원정문,stop2,CAB285001518,1518,127.13214,36.7968126
13,CAB285000010,천안아산역,stop3,CAB285071625,71625,127.1038693,36.793545
13,CAB285000011,두레현대1단지아파트,stop1,CAB285000839,839,127.13158048,36.79260462
13,CAB285000011,중앙도서관,stop2,CAB285000878,878,127.1525824,36.80858461
13,CAB285000011,단대병원,stop3,CAB285001715,1715,127.1743703,36.8412905
14,CAB285000012,천안시청 서북구보건소,stop1,CAB285001015,1015,127.11583574,36.81392798
14,CAB285000012,두정중학교,stop2,CAB285000934,934,127.13835575,36.83547129
14,CAB285000012,신부청광아파트,stop3,CAB285000648,648,127.15211514,36.82162686
14,CAB285000012,백석대학교(운동장),stop4,CAB285001747,1747,127.1851781,36.8406499
14,CAB285000013,신부청광아파트,stop1,CAB285002085,2085,127.15219328,36.82101139
14,CAB285000013,두정도서관,stop2,CAB285001025,1025,127.13543574,36.83388966
14,CAB285000013,주공그린빌3차아파트,stop3,CAB285001498,1498,127.11968945,36.819102
14,CAB285000013,방아다리공원,stop4,CAB285010021,2340,127.11686957,36.79311153
24,CAB285000024,종합터미널,stop1,CAB285000686,686,127.15564408,36.81897133
24,CAB285000024,삼룡교,stop2,CAB285000749,749,127.1591872,36.7978992
24,CAB285000024,동우아파트,stop3,CAB285000322,322,127.19509356,36.77097152
24,CAB285000025,천안동중학교,stop1,CAB285000738,738,127.16601147,36.78778703
24,CAB285000025,복자여자중고등학교,stop2,CAB285000651,651,127.1502101,36.815312
24,CAB285000025,각원사,stop3,CAB285010147,1718,127.1896028,36.8331108
81,CAB285000293,동아태조아파트,stop1,CAB285002084,2084,127.15265224,36.8227316
81,CAB285000293,계룡리슈빌,stop2,CAB285002132,2132,127.12332547,36.83257179
81,CAB285000293,차암2통,stop3,CAB285010148,294,127.0989716,36.8398756
81,CAB285000294,백석푸르지오아파트,stop1,CAB285010132,2323,127.1214952,36.8306031
81,CAB285000294,역말오거리,stop2,CAB285000981,981,127.15271241,36.82691798
81,CAB285000294,각원사,stop3,CAB285010147,1718,127.1896028,36.8331108
